2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296665834672 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296665834672 (Remaining: 0)
2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296658867936 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:1023 | Control client disconnected: control-client-130296658867936
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296658867936 (Remaining: 0)
2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296658869376 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296658869376 (Remaining: 0)
2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296658868944 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296658868944 (Remaining: 0)
2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296658867648 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296658867648 (Remaining: 0)
2026-08-28 19:20:38 | system | INFO | None:399 | Client connected: control-client-130296658869808 (Total: 1)
2026-08-28 19:20:38 | system | INFO | None:606 | Client disconnected: control-client-130296658869808 (Remaining: 0)
2026-08-28 19:20:39 | system | INFO | None:219 | Dependency floor check passed (3 juniper-* floor(s) satisfied).
2026-08-28 19:20:39 | system | WARNING | None:121 | juniper-canopy is running OPEN — no API-key authentication is configured and require_auth is False, so protected routes will serve UNAUTHENTICATED. Set require_auth=True and populate the API-key secret to fail closed in a secured deployment.
2026-08-28 19:20:39 | system | INFO | None:275 | Starting Juniper Canopy application
2026-08-28 19:20:39 | system | INFO | None:276 | Settings: server=127.0.0.1:8050, demo=True
2026-08-28 19:20:39 | system | INFO | None:280 | Event loop captured for thread-safe broadcasting
2026-08-28 19:20:39 | system | DEBUG | None:282 | Event loop set for WebSocketManager
2026-08-28 19:20:39 | system | WARNING | None:318 | JuniperData unreachable at http://localhost:8100: http://localhost:8100/v1/health/live — ConnectError: All connection attempts failed
2026-08-28 19:20:39 | system | INFO | None:177 | Global training_state synced with demo defaults: LR=0.01, MaxHidden=1000, Epochs=1000000
2026-08-28 19:20:39 | system | INFO | None:351 | Backend initialized: demo
